GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,180,0,32,0,18,0,19,0,3,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,619,212,55,21,92,59,37,10,1,8
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,173,145,5,11,36,35,14,10,11,5
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,190,92,40,4,40,30,22,6,1,5
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,43,66,8,8,11,16,9,7,2,6
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,496,436,74,48,72,105,60,37,11,25
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,90,180,14,10,9,40,11,14,1,12
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,88,94,18,6,14,25,14,6,2,4
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Settings.KEYS,3,0,0,0,2,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,Engine,383,1012,48,96,95,253,51,71,13,37
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,Engine.Mode,9,103,0,0,0,10,2,4,2,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,AnalysisTask,52,57,0,4,8,16,0,6,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NuspecAnalyzer,42,149,9,7,3,33,7,9,0,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractSuppressionAnalyzer,312,167,39,15,56,46,27,10,3,7
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,OpenSSLAnalyzer,25,177,8,6,3,31,7,10,0,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonPackageAnalyzer,263,60,20,0,56,13,19,4,9,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer,354,24,42,0,75,6,29,3,8,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractNpmAnalyzer,203,426,36,26,44,75,26,15,2,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NodePackageAnalyzer,281,273,35,25,37,63,28,11,0,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,MSBuildProjectAnalyzer,247,27,18,0,41,6,14,3,5,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyMergingAnalyzer,231,99,60,16,44,22,39,11,1,11
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractFileTypeAnalyzer,6,62,1,7,1,21,1,10,0,7
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CMakeAnalyzer,226,34,10,0,57,6,11,3,6,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AssemblyAnalyzer,498,197,67,13,106,44,42,9,2,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,VulnerabilitySuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,ComposerLockAnalyzer,201,19,10,0,32,4,10,3,5,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalyzerService,10,85,3,9,4,24,4,7,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractAnalyzer,17,65,0,6,4,25,0,15,0,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CocoaPodsAnalyzer,366,31,30,0,82,6,24,3,9,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NugetconfAnalyzer,245,21,14,0,40,5,12,3,5,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalysisPhase,5,123,0,0,0,12,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer,277,1044,37,127,64,224,30,72,1,19
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AutoconfAnalyzer,226,66,34,0,51,9,25,3,8,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RetireJsAnalyzer,235,354,39,31,36,79,29,19,0,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,VersionFilterAnalyzer,0,249,3,67,0,35,3,38,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,ArchiveAnalyzer,588,812,85,87,91,167,65,42,0,21
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NexusAnalyzer,262,56,41,1,58,18,24,9,3,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CentralAnalyzer,169,238,26,20,41,66,18,18,1,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,FileNameAnalyzer,0,145,2,8,0,20,2,9,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer,682,2508,174,310,82,448,146,125,1,28
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,ArtifactoryAnalyzer,233,40,32,0,53,12,20,8,4,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NspAnalyzer,97,217,9,13,17,47,7,12,0,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundleAuditAnalyzer,839,130,101,5,181,34,60,8,7,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractDependencyComparingAnalyzer,3,84,0,14,1,21,1,11,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,FalsePositiveAnalyzer,474,744,122,130,56,141,84,58,0,16
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierMatch,123,46,20,0,22,9,16,5,6,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer,138,3,30,0,29,1,18,1,3,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,SwiftPackageManagerAnalyzer,155,22,20,0,38,5,17,3,7,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,HintAnalyzer,301,331,44,44,65,72,26,28,1,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NvdCveAnalyzer,12,69,1,7,4,20,1,8,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CpeSuppressionAnalyzer,4,8,0,0,2,3,2,3,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonDistributionAnalyzer,458,91,64,0,99,13,44,3,12,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer.new FilenameFilter() {...},14,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierConfidence,9,39,0,0,0,4,2,2,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer.ClassNameInformation,7,71,0,8,3,17,2,6,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyBundlingAnalyzer,414,582,140,118,96,103,105,46,5,17
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,MSBuildProjectParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathMSBuildProjectParser,82,0,8,0,21,0,6,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNugetconfParser,82,0,8,0,21,0,6,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetconfParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackageReference,65,17,14,0,10,7,9,5,2,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,116,31,24,0,13,13,14,9,2,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,16,4,4,0,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,35,11,0,0,11,4,5,2,5,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,159,51,6,4,47,13,16,4,12,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,112,22,14,0,25,5,16,3,9,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,169,33,10,0,32,11,7,4,2,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,495,1437,36,144,115,365,34,89,2,31
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,5,233,0,0,0,23,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},23,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,408,377,41,25,69,113,31,15,1,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,116,58,22,6,18,20,15,10,3,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,197,117,32,10,12,20,21,4,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,52,216,25,33,8,45,22,22,0,7
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,344,381,56,70,78,97,53,47,19,18
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,109,70,25,7,19,16,20,9,5,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,111,287,25,15,13,68,21,12,2,11
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,Fields,3,0,0,0,2,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,312,20,64,0,52,20,38,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,56,1,29,0,27
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,71,77,7,3,8,17,5,4,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,102,17,20,0,17,8,14,5,4,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,163,25,7,1,43,8,6,3,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,2,154,2,14,2,31,2,11,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,165,223,37,17,23,41,28,8,1,8
